"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"353",0,0,0,0,0,0,0,0,0,0
"354",0,0,0,0,1,1,0,0,0,1
"355",0,2,0,0,2,0,0,1,0,3
"356",0,0,0,0,0,0,0,0,0,0
"357",0,0,0,0,1,0,0,0,0,2
"358",0,1,0,0,1,0,0,1,0,2
"359",0,0,0,0,0,0,0,0,0,0
"360",0,0,0,0,1,0,0,0,0,1
"361",0,0,0,0,0,0,0,0,0,0
"362",1,1,1,0,1,0,1,1,1,1
"363",0,1,0,0,1,0,1,2,0,2
"364",0,1,0,0,2,1,0,0,0,2
"365",0,0,0,0,0,0,0,1,1,0
"366",0,1,0,0,0,0,0,0,0,1
"367",1,0,1,0,0,1,0,0,1,1
"368",0,0,0,0,0,0,0,0,0,0
"369",0,0,0,0,0,0,0,0,0,0
"370",0,0,0,0,0,0,0,0,0,1
"371",0,1,1,0,1,0,1,1,1,2
"372",0,0,0,0,1,0,0,0,0,1
"373",0,0,0,0,0,0,0,0,0,0
"374",0,0,0,0,0,0,0,0,0,0
"375",0,0,0,0,0,0,0,0,0,0
"376",0,0,0,0,1,0,0,0,0,1
"377",0,1,0,0,0,0,0,1,0,1
"378",0,0,0,0,0,0,0,0,0,0
"379",0,0,0,0,1,0,0,0,0,1
"380",0,0,0,0,1,0,0,0,0,1
"381",1,0,0,0,0,0,0,0,2,0
"382",0,0,0,0,0,0,0,0,0,1
"383",0,0,0,0,0,0,0,0,0,0
"384",0,0,0,0,0,0,0,0,0,0
"385",0,0,0,0,1,0,0,0,0,1
"386",0,0,0,0,0,0,0,0,0,0
"387",0,0,0,0,0,0,0,0,0,0
"388",0,1,0,0,1,0,1,1,0,1
"389",0,2,0,0,2,0,1,2,0,3
"390",0,2,0,0,2,0,0,1,0,2
"391",0,0,0,0,0,0,0,1,0,0
"392",0,1,0,0,1,1,0,0,0,3
"393",0,0,0,0,1,0,0,0,0,1
"394",0,0,0,0,1,0,0,0,0,1
"395",0,1,0,0,0,0,0,1,0,1
"396",0,0,0,0,0,0,0,0,0,0
"397",0,1,0,0,0,0,1,0,0,0
"398",0,1,0,0,1,0,0,1,0,1
"399",0,0,0,0,0,0,0,1,0,0
"400",0,1,0,0,2,0,0,1,0,2
"401",0,0,0,0,2,0,0,0,1,2
"402",0,2,0,0,3,1,1,1,0,4
"403",0,0,0,0,0,0,0,0,0,0
"404",0,0,0,0,0,0,0,0,0,0
"405",0,1,0,1,0,0,1,1,1,3
"406",0,0,0,0,2,1,0,0,0,2
"407",0,0,0,0,0,0,0,0,0,0
"408",0,1,0,0,2,0,0,2,0,2
"409",0,4,0,0,4,0,2,3,0,4
"410",0,1,0,0,1,0,1,1,0,1
"411",0,0,0,0,1,0,0,0,0,1
"412",0,1,0,0,1,0,0,1,0,1
"413",0,1,0,0,1,0,1,1,0,2
"414",0,0,0,0,1,0,0,0,0,1
"415",2,0,1,1,2,2,0,2,2,2
"416",0,0,0,0,0,0,0,0,0,0
"417",0,2,0,0,2,0,2,2,0,2
"418",0,0,0,0,0,0,0,0,0,0
"419",2,2,2,3,2,2,1,3,4,6
"420",0,0,0,0,1,0,0,0,0,1
"421",1,0,0,1,1,1,0,0,2,2
"422",0,0,0,0,1,0,0,0,0,1
"423",0,0,0,0,1,1,0,0,0,1
"424",0,0,0,0,1,0,0,0,0,1
"425",0,0,0,0,0,0,0,0,0,1
"426",0,0,0,0,2,1,0,1,1,2
"427",0,0,0,0,1,0,0,1,0,1
"428",0,1,0,0,1,0,1,1,0,1
"429",0,1,0,0,1,0,1,1,0,1
"430",0,0,0,0,0,0,0,0,0,0
"431",0,0,0,1,0,0,0,0,1,1
"432",0,2,0,0,2,2,0,1,1,2
"433",0,0,0,0,0,0,0,0,0,0
"434",0,0,0,0,0,0,0,0,0,0
"435",1,1,1,0,1,1,1,0,1,2
"436",0,3,0,1,2,1,0,2,1,3
"437",0,0,0,1,0,1,0,0,1,0
"438",0,0,0,0,0,0,0,0,0,1
"439",0,0,0,0,1,0,0,0,0,1
"440",0,1,0,0,2,0,1,1,0,2
"441",0,1,1,0,1,0,1,1,0,1
"442",0,0,0,0,1,0,0,0,0,1
"443",0,0,0,0,0,0,0,0,0,0
"444",0,0,0,0,0,0,0,0,0,0
"445",0,0,0,0,0,0,0,0,0,0
"446",0,0,0,0,0,0,0,0,0,0
"447",0,0,0,0,1,0,0,0,0,1
"448",0,1,0,0,2,0,0,2,1,3
"449",0,1,0,0,1,0,1,1,0,1
"450",0,0,0,0,0,0,0,0,0,0
"451",0,0,0,0,1,0,0,1,0,1
"452",1,1,1,0,2,1,1,1,1,5
"453",0,3,0,0,3,1,2,3,1,6
"454",0,1,0,0,2,0,1,1,0,2
"455",0,0,0,0,0,0,0,0,0,0
"456",0,0,0,0,0,0,0,0,0,0
"457",0,0,0,0,0,0,0,0,0,0
"458",0,0,0,0,0,0,0,0,0,0
"459",0,1,0,0,1,0,1,1,0,1
"460",1,0,0,0,1,2,0,0,1,1
"461",0,1,0,0,2,0,0,0,0,2
"462",0,0,0,0,1,0,0,0,0,1
"463",0,1,0,0,1,0,0,0,1,1
"464",0,0,0,0,0,0,0,0,0,0
"465",0,0,0,0,0,0,0,0,0,0
"466",0,0,0,0,0,0,0,0,0,0
"467",0,1,0,0,1,0,1,1,0,1
"468",0,0,0,0,0,0,0,0,0,0
"469",0,0,0,0,0,0,0,0,0,0
"470",0,0,0,0,0,0,0,0,0,0
"471",1,4,1,1,1,3,1,1,3,3
"472",0,0,0,0,0,0,0,0,0,0
"473",0,0,0,0,1,0,0,0,0,1
"474",0,0,0,0,0,0,0,0,0,0
"475",0,0,0,0,0,0,0,0,0,0
"476",0,0,0,0,0,0,0,0,0,0
"477",0,0,0,0,0,0,0,0,0,0
"478",0,1,0,0,0,0,0,0,0,0
"479",0,0,0,0,1,0,0,0,0,2
"480",0,0,0,0,0,0,0,0,0,0
"481",0,0,0,0,1,0,0,1,0,1
"482",0,0,0,0,0,0,0,0,0,0
"483",0,1,0,0,3,0,0,1,0,3
"484",0,0,0,0,0,0,0,0,0,0
"485",1,3,0,1,1,3,0,2,4,6
"486",0,0,0,1,1,0,0,0,0,1
"487",0,1,0,1,0,0,0,0,0,0
"488",0,3,0,1,2,1,1,1,1,3
"489",0,1,0,0,0,0,0,0,0,0
"490",0,0,0,0,0,0,0,0,0,1
"491",0,1,1,0,2,0,1,0,1,2
"492",0,0,0,0,0,0,0,0,0,0
"493",0,2,0,0,4,2,2,2,1,6
"494",0,1,0,0,1,0,1,1,0,1
"495",0,0,0,0,2,0,1,0,0,2
"496",0,0,0,0,1,0,0,0,0,2
"497",0,0,0,0,2,1,0,0,0,2
"498",0,0,0,0,0,0,0,0,0,0
"499",1,1,0,1,0,1,0,0,1,0
"500",0,0,0,1,0,1,0,0,1,1
"501",1,2,1,0,1,0,0,1,2,2
"502",0,1,0,0,1,0,0,1,0,2
"503",0,0,0,0,0,0,0,0,0,0
"504",0,0,0,0,0,0,0,0,0,0
"505",1,0,0,1,0,1,0,0,3,0
"506",0,1,0,0,0,0,0,0,0,0
"507",0,0,0,0,0,0,0,0,0,0
"508",0,0,0,0,0,0,0,0,0,0
"509",0,0,0,0,0,0,0,0,0,0
"510",0,0,0,0,0,0,0,0,0,0
"511",0,1,0,0,1,0,0,1,0,1
"512",0,0,0,0,1,0,0,0,0,4
"513",0,0,0,0,1,0,0,1,0,3
"514",0,0,0,0,0,0,0,1,0,1
"515",0,0,0,0,0,0,0,0,0,0
"516",0,1,0,0,2,0,1,1,0,2
"517",0,0,0,0,1,0,0,0,0,1
